comp,rep,dispersal,kernel_exp,extirp_prob,gamma
stable,1,1e-5,0,0,28
stable,1,1e-5,0,0.025,0
stable,1,1e-5,0,0.05,0
stable,1,1e-5,0,0.07500000000000001,0
stable,1,1e-5,0,0.1,0
stable,1,1e-5,0.041666666666666664,0,27
stable,1,1e-5,0.041666666666666664,0.025,0
stable,1,1e-5,0.041666666666666664,0.05,0
stable,1,1e-5,0.041666666666666664,0.07500000000000001,0
stable,1,1e-5,0.041666666666666664,0.1,0
stable,1,1e-5,0.08333333333333333,0,31
stable,1,1e-5,0.08333333333333333,0.025,0
stable,1,1e-5,0.08333333333333333,0.05,0
stable,1,1e-5,0.08333333333333333,0.07500000000000001,0
stable,1,1e-5,0.08333333333333333,0.1,0
stable,1,1e-5,0.125,0,32
stable,1,1e-5,0.125,0.025,0
stable,1,1e-5,0.125,0.05,0
stable,1,1e-5,0.125,0.07500000000000001,0
stable,1,1e-5,0.125,0.1,0
stable,1,1e-5,0.16666666666666666,0,30
stable,1,1e-5,0.16666666666666666,0.025,0
stable,1,1e-5,0.16666666666666666,0.05,0
stable,1,1e-5,0.16666666666666666,0.07500000000000001,0
stable,1,1e-5,0.16666666666666666,0.1,0
stable,1,1e-5,0.20833333333333331,0,26
stable,1,1e-5,0.20833333333333331,0.025,0
stable,1,1e-5,0.20833333333333331,0.05,0
stable,1,1e-5,0.20833333333333331,0.07500000000000001,0
stable,1,1e-5,0.20833333333333331,0.1,0
stable,1,1e-5,0.25,0,30
stable,1,1e-5,0.25,0.025,0
stable,1,1e-5,0.25,0.05,0
stable,1,1e-5,0.25,0.07500000000000001,0
stable,1,1e-5,0.25,0.1,0
stable,1,1e-5,0.29166666666666663,0,32
stable,1,1e-5,0.29166666666666663,0.025,0
stable,1,1e-5,0.29166666666666663,0.05,0
stable,1,1e-5,0.29166666666666663,0.07500000000000001,0
stable,1,1e-5,0.29166666666666663,0.1,0
stable,1,1e-5,0.3333333333333333,0,27
stable,1,1e-5,0.3333333333333333,0.025,0
stable,1,1e-5,0.3333333333333333,0.05,0
stable,1,1e-5,0.3333333333333333,0.07500000000000001,0
stable,1,1e-5,0.3333333333333333,0.1,0
stable,1,1e-5,0.375,0,35
stable,1,1e-5,0.375,0.025,0
stable,1,1e-5,0.375,0.05,0
stable,1,1e-5,0.375,0.07500000000000001,0
stable,1,1e-5,0.375,0.1,0
stable,1,1e-5,0.41666666666666663,0,34
stable,1,1e-5,0.41666666666666663,0.025,0
stable,1,1e-5,0.41666666666666663,0.05,0
stable,1,1e-5,0.41666666666666663,0.07500000000000001,0
stable,1,1e-5,0.41666666666666663,0.1,0
stable,1,1e-5,0.4583333333333333,0,28
stable,1,1e-5,0.4583333333333333,0.025,0
stable,1,1e-5,0.4583333333333333,0.05,0
stable,1,1e-5,0.4583333333333333,0.07500000000000001,0
stable,1,1e-5,0.4583333333333333,0.1,0
stable,1,1e-5,0.5,0,28
stable,1,1e-5,0.5,0.025,0
stable,1,1e-5,0.5,0.05,0
stable,1,1e-5,0.5,0.07500000000000001,0
stable,1,1e-5,0.5,0.1,0
stable,1,1e-5,0.5416666666666666,0,35
stable,1,1e-5,0.5416666666666666,0.025,0
stable,1,1e-5,0.5416666666666666,0.05,0
stable,1,1e-5,0.5416666666666666,0.07500000000000001,0
stable,1,1e-5,0.5416666666666666,0.1,0
stable,1,1e-5,0.5833333333333333,0,31
stable,1,1e-5,0.5833333333333333,0.025,0
stable,1,1e-5,0.5833333333333333,0.05,0
stable,1,1e-5,0.5833333333333333,0.07500000000000001,0
stable,1,1e-5,0.5833333333333333,0.1,0
stable,1,1e-5,0.625,0,34
stable,1,1e-5,0.625,0.025,0
stable,1,1e-5,0.625,0.05,0
stable,1,1e-5,0.625,0.07500000000000001,0
stable,1,1e-5,0.625,0.1,0
stable,1,1e-5,0.6666666666666666,0,31
stable,1,1e-5,0.6666666666666666,0.025,0
stable,1,1e-5,0.6666666666666666,0.05,0
stable,1,1e-5,0.6666666666666666,0.07500000000000001,0
stable,1,1e-5,0.6666666666666666,0.1,0
stable,1,1e-5,0.7083333333333333,0,33
